gene_id,model_type,log_hr,hr,log_hr_ci_low,log_hr_ci_high,hr_ci_low,hr_ci_high,std_error,statistic,p_value,ph_p_value,n,events,covariates,warning_count,warning_text,fdr
ENSG00000055163.20,grade_complete,-0.5011742289302678,0.6058188718476414,-0.6180340421254797,-0.38431441573505576,0.5390030539544406,0.6809173024050641,0.059623449265898416,-8.40565641707874,4.2547506480535714e-17,0.17254535274573085,520,171,expr;age;sex;grade,0,,1.4138536403482019e-13
ENSG00000091844.8,grade_complete,0.5065524698540484,1.659559938365992,0.37267881420896803,0.6404261254991288,1.4516180258661597,1.8972891903749811,0.068304140637817215,7.41613122021465,1.2059102584577428e-13,0.9118459629918989,520,171,expr;age;sex;grade,0,,2.0036198944275398e-10
ENSG00000111665.12,grade_complete,0.4990936652686114,1.6472276543105615,0.3642614592942253,0.6339258712429974,1.4394505226789542,1.8849963249001815,0.0687932059149685,7.254984829250633,4.017068569381678e-13,0.7142963152303776,520,171,expr;age;sex;grade,0,,3.337179714013829e-10
ENSG00000165475.15,grade_complete,-0.4659200899864024,0.6275574301665034,-0.5913568049135095,-0.34048337505929527,0.5535756807561758,0.7114263538803266,0.06399949994823166,-7.280058287381603,3.3367597606598973e-13,0.4411495789428391,520,171,expr;age;sex;grade,0,,3.337179714013829e-10
ENSG00000166851.15,grade_complete,0.5305296309793222,1.6998323541259188,0.3845851468558897,0.6764741151027547,1.469004773764392,1.966930321627864,0.07446283976370177,7.124756894350116,1.042645516602081e-12,0.746915287685023,520,171,expr;age;sex;grade,0,,6.871545021170483e-10
ENSG00000140451.13,grade_complete,0.49728951754882594,1.6442584915035963,0.3600268150958128,0.6345522200018391,1.433367849941245,1.886177359839977,0.07003327792537205,7.100760271120554,1.2407243492934966e-12,0.9713524363135818,520,171,expr;age;sex;grade,0,,6.871545021170483e-10
ENSG00000152782.16,grade_complete,-0.5352030465217477,0.585550384104673,-0.6840578194652047,-0.3863482735782906,0.5045653973886932,0.6795338207883483,0.07594770828321568,-7.0469940254935475,1.8282416580646612e-12,0.7629229925779978,520,171,expr;age;sex;grade,0,,8.67892432821267e-10
ENSG00000135451.13,grade_complete,0.4688811065711726,1.5982049713893443,0.33761275341939234,0.6001494597229529,1.4015976344087107,1.8223911541140516,0.06697488024637613,7.000850241856801,2.544137779925297e-12,0.731135071526843,520,171,expr;age;sex;grade,0,,9.393522047435292e-10
ENSG00000169231.13,grade_complete,0.5549438190223813,1.7418431235755913,0.3999145725307772,0.7099730655139854,1.4916972602762302,2.0339364748754303,0.07909800777690561,7.015901343401588,2.2847123109735638e-12,0.45634267513891,520,171,expr;age;sex;grade,0,,9.393522047435292e-10
ENSG00000143228.13,grade_complete,0.5033563115206833,1.6542641895732764,0.36096041053431094,0.6457522125070556,1.4347066604841054,1.9074212759151308,0.0726523048941578,6.928291019176732,4.259548093415911e-12,0.6468862726105309,520,171,expr;age;sex;grade,0,,1.4154478314421075e-9
