simulation,fold,gene_id,main_fdr,main_beta,gene_selected
177,2,NA,NA,NA,FALSE
178,3,NA,NA,NA,FALSE
179,4,NA,NA,NA,FALSE
180,5,NA,NA,NA,FALSE
181,1,NA,NA,NA,FALSE
182,2,NA,NA,NA,FALSE
183,3,NA,NA,NA,FALSE
184,4,NA,NA,NA,FALSE
185,5,NA,NA,NA,FALSE
186,1,NA,NA,NA,FALSE
187,2,NA,NA,NA,FALSE
188,3,NA,NA,NA,FALSE
189,4,NA,NA,NA,FALSE
190,5,NA,NA,NA,FALSE
191,1,NA,NA,NA,FALSE
192,2,NA,NA,NA,FALSE
193,3,NA,NA,NA,FALSE
194,4,NA,NA,NA,FALSE
195,5,NA,NA,NA,FALSE
196,1,NA,NA,NA,FALSE
197,2,NA,NA,NA,FALSE
198,3,NA,NA,NA,FALSE
199,4,NA,NA,NA,FALSE
200,5,NA,NA,NA,FALSE
