repeat_id,symbol,tcga_gene_id,bootstrap_log_hr,bootstrap_hr,n,events
1,CYFIP2,ENSG00000055163.20,-0.5260802541831354,0.5909166792431493,517,170
1,CRYL1,ENSG00000165475.15,-0.4212245869939907,0.6562427012821057,517,170
1,HHLA2,ENSG00000114455.13,-0.3958524536643201,0.6731060029352717,517,170
1,DDC,ENSG00000132437.18,-0.3851003496616996,0.6803823566394142,517,170
1,KL,ENSG00000133116.8,-0.46232910290206297,0.629815031876187,517,170
1,RBM47,ENSG00000163694.15,-0.4109032998427339,0.6630510456411475,517,170
1,PANK1,ENSG00000152782.16,-0.444239439254235,0.6413118472118491,517,170
1,GJB1,ENSG00000169562.13,-0.34897810787076555,0.7054085729965598,517,170
1,ACADM,ENSG00000117054.14,-0.564523029636165,0.5686313023649824,517,170
1,CLCN5,ENSG00000171365.17,-0.449223356508929,0.6381235537259626,517,170
1,TMEM140,ENSG00000146859.6,-0.4207557194317248,0.6565504643421304,517,170
1,C1QTNF6,ENSG00000133466.14,0.5395683462383758,1.7152663012122868,517,170
1,CADPS2,ENSG00000081803.16,-0.42465534005215205,0.6539951522251694,517,170
1,KNTC1,ENSG00000184445.12,0.34398836801834554,1.4105622277782954,517,170
1,PODXL,ENSG00000128567.17,-0.5223459234347028,0.5931274829351324,517,170
1,HIBCH,ENSG00000198130.16,-0.46778572870949775,0.6263877261856127,517,170
1,TNIP1,ENSG00000145901.16,-0.3821183888890906,0.6824142581569437,517,170
1,TCIRG1,ENSG00000110719.10,0.4725086679733899,1.6040130863340063,517,170
1,LTB4R,ENSG00000213903.9,0.5585152149944342,1.7480750568177605,517,170
1,LRBA,ENSG00000198589.14,-0.6030038876672303,0.5471655411686266,517,170
1,GRAMD1A,ENSG00000089351.14,0.4868823271908473,1.6272351167847265,517,170
1,IFFO1,ENSG00000010295.20,0.5000266894632587,1.6487652747731263,517,170
1,TNFAIP2,ENSG00000185215.11,0.39368596574633136,1.4824349402200134,517,170
2,CYFIP2,ENSG00000055163.20,-0.511678668238975,0.5994883915596098,517,170
2,CRYL1,ENSG00000165475.15,-0.6456266830386598,0.5243338479947044,517,170
2,HHLA2,ENSG00000114455.13,-0.6757805493033768,0.508759153981398,517,170
2,DDC,ENSG00000132437.18,-0.45949434367243036,0.6316029387963006,517,170
2,KL,ENSG00000133116.8,-0.4495757627234591,0.6378987146396641,517,170
2,RBM47,ENSG00000163694.15,-0.5266104693485261,0.5906034493053022,517,170
2,PANK1,ENSG00000152782.16,-0.44374858563323966,0.6416267147248478,517,170
2,GJB1,ENSG00000169562.13,-0.5929525021807797,0.552693045951423,517,170
2,ACADM,ENSG00000117054.14,-0.38636791940819376,0.6795204709136268,517,170
2,CLCN5,ENSG00000171365.17,-0.5032096582260077,0.6045870244623909,517,170
2,TMEM140,ENSG00000146859.6,-0.37155405421798005,0.6896617256963098,517,170
2,C1QTNF6,ENSG00000133466.14,0.3611605202471689,1.4349937879495096,517,170
2,CADPS2,ENSG00000081803.16,-0.4643556681265555,0.6285399630761573,517,170
2,KNTC1,ENSG00000184445.12,0.5024073362870156,1.6526950784689722,517,170
2,PODXL,ENSG00000128567.17,-0.5072774814176376,0.602132666674082,517,170
2,HIBCH,ENSG00000198130.16,-0.36830025830619384,0.6919093989518763,517,170
2,TNIP1,ENSG00000145901.16,-0.35189955627748526,0.7033507655975576,517,170
2,TCIRG1,ENSG00000110719.10,0.48420253428259413,1.6228803012666766,517,170
2,LTB4R,ENSG00000213903.9,0.3145028997073149,1.3695783239259147,517,170
2,LRBA,ENSG00000198589.14,-0.38445210313444045,0.6808235551265575,517,170
2,GRAMD1A,ENSG00000089351.14,0.4347023131554596,1.5445032122219444,517,170
2,IFFO1,ENSG00000010295.20,0.3753761332903704,1.455538788262714,517,170
2,TNFAIP2,ENSG00000185215.11,0.29356084065012855,1.341194776090079,517,170
3,CYFIP2,ENSG00000055163.20,-0.474044613997082,0.6224794806504499,517,170
3,CRYL1,ENSG00000165475.15,-0.5128839589102724,0.5987662690648856,517,170
