gene_id,ensembl,base_mean,tcga_mle_log2fc,tcga_apeglm_log2fc,tcga_apeglm_lfc_se,tcga_de_p_value,tcga_de_fdr,primary_tcga_deg_gate,symbol,gse40435_log2fc,gse40435_p_value,gse40435_fdr,gse53757_log2fc,gse53757_p_value,gse53757_fdr,primary_reproducible_deg,same_direction_tcga_gse40435,same_direction_tcga_gse53757,same_direction_all_three,log_hr,hr,log_hr_ci_low,log_hr_ci_high,hr_ci_low,hr_ci_high,std_error,statistic,p_value,n,events,model_status,warning_text,global_fdr,global_fdr_lt_0_05
ENSG00000116791.14,ENSG00000116791,12394.637207031525,-0.5224865189766909,-0.5168815583331969,0.09409708176527708,3.2404694127562665e-8,6.17444162979874e-8,FALSE,CRYZ,-0.8271153079504947,2.841029361601792e-24,2.84958338978855e-23,-0.4975898749462993,1.7037124770191728e-7,5.467939609229719e-7,FALSE,TRUE,TRUE,TRUE,-0.49828176525841417,0.6075737176165317,-0.6334128555210959,-0.3631506749957324,0.5307772403163461,0.695481633911733,0.06894570070092035,-7.2271622478667865,4.931907613539766e-13,517,170,ok,NA,1.5876796989507213e-8,TRUE
ENSG00000055163.20,ENSG00000055163,14898.607688197171,-2.281149711391933,-2.2701762940745227,0.10688889381217428,1.5828981550685973e-100,1.534839078553261e-98,TRUE,CYFIP2,-1.131520208693071,6.015535549302543e-41,3.2931902131269206e-39,-1.6858177738871676,4.92606073192595e-22,9.78370395368626e-21,TRUE,TRUE,TRUE,TRUE,-0.4373207095360415,0.64576429542957825,-0.5614242195736957,-0.31321719949838733,0.5703961157651111,0.7310911027020123,0.06331928087279506,-6.906596276963326,4.96420074505978e-12,517,170,ok,NA,4.0087710816459434e-8,TRUE
ENSG00000167549.18,ENSG00000167549,95.00960418353276,2.1710018194334797,2.142679256681826,0.2129157297824168,7.089365060150585e-25,3.65211777910654e-24,TRUE,CORO6,0.01483687811881189,0.4204445337932692,0.5333738507212135,-0.3957217809463913,5.9513953257848326e-5,1.4123838300379314e-4,FALSE,TRUE,FALSE,FALSE,0.5195607959473542,1.6812890585464628,0.37015353546714436,0.668968056427564,1.4479569103383862,1.952221698177086,0.0762295948592501,6.815736026233227,9.378236218050157e-12,517,170,ok,NA,4.0087710816459434e-8,TRUE
ENSG00000159147.18,ENSG00000159147,428.4589791719495,0.9887371897989624,0.984407024371037,0.08436381492356018,9.44643778826456e-32,6.809219106131049e-31,FALSE,DONSON,0.2947957543366336,2.7731793300001688e-33,6.25193214828116e-32,0.6549891169626941,3.420707721441312e-17,3.2542949133711947e-16,FALSE,TRUE,TRUE,TRUE,0.5367011777667018,1.710355387325901,0.38225039384270143,0.6911519616907021,1.46557901115342,1.9960135405135822,0.078802868390587,6.8106807369820395,9.713798968058033e-12,517,170,ok,NA,4.0087710816459434e-8,TRUE
ENSG00000106089.12,ENSG00000106089,122.5574763052356,0.7237161575488725,0.8220746364462264,0.11400669714405152,2.2449540024908001e-10,4.930047018772347e-10,FALSE,STX1A,0.07196506367326823,0.00236516532532566,0.00512580711448874,0.48636433959812914,0.00103658575985866,0.00206847045051163,FALSE,TRUE,TRUE,TRUE,0.4128956569049099,1.5111873357433232,0.2967266682802463,0.5290646455295736,1.3454474957063332,1.6973439476448042,0.05927098127363046,6.966236226100856,3.2553236980970537e-12,517,170,ok,NA,4.0087710816459434e-8,TRUE
ENSG00000129151.9,ENSG00000129151,9993.752280791075,-0.4849999591269516,-0.46516392885434427,0.1963113507055905,0.01536639164114353,0.01936787438673868,FALSE,BBOX1,-2.0759431444158443,1.5631661831957681e-19,1.1089484789440935e-18,-1.7693041956948448,5.285640127258907e-14,3.44055323219584e-13,FALSE,TRUE,TRUE,TRUE,-0.4392204356508576,0.6445386846645217,-0.5641682908775147,-0.3142725804242004,0.5688330537097082,0.7303199301091909,0.06375007715051396,-6.889723985962526,5.590074289571248e-12,517,170,ok,NA,4.0087710816459434e-8,TRUE
ENSG00000120162.10,ENSG00000120162,2535.2031867245432,0.2627342654037651,0.2637532093127531,0.09847440976938754,0.00791349831657388,0.01021866577645994,FALSE,MOB3B,NA,NA,NA,-0.03005245501176426,0.5945381237752212,0.6552520362224018,FALSE,FALSE,FALSE,FALSE,-0.4207897089588943,0.6565281488815327,-0.5419483445125391,-0.2996310734052494,0.581613963365985,0.7410915786466142,0.061816766282099464,-6.807048221167533,9.962154775462086e-12,517,170,ok,NA,4.0087710816459434e-8,TRUE
ENSG00000262001.1,ENSG00000262001,124.956425043021,-0.05275823396423932,-0.05170295486535307,0.13366970002427453,0.6957192481455831,0.7204720464615135,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,0.509057441090483,1.6637222993975413,0.3637850850504195,0.6543297971305465,1.4387649688277806,1.9238527136004846,0.07411991097078993,6.868025533531719,6.509657196080394e-12,517,170,ok,NA,4.0087710816459434e-8,TRUE
ENSG00000165475.15,ENSG00000165475,9603.857836907597,-1.0664355766496707,-1.049632365895624,0.10300132677990358,7.923049463718994e-25,4.0724701953703004e-24,TRUE,CRYL1,-1.69578909706931,2.892818540103826e-38,1.1437590879395356e-36,-1.7178349940872006,2.92482523379928e-27,1.9976119805769417e-25,TRUE,TRUE,TRUE,TRUE,-0.45035105629036676,0.6374043475344463,-0.5805086330840694,-0.32019347949666405,0.559613656145158,0.7260085557140644,0.0664081472008512,-6.781563336321997,1.1888233788758255e-11,517,170,ok,NA,4.252289134752286e-8,TRUE
ENSG00000175711.8,ENSG00000175711,233.45872984163728,1.3059246340884545,1.3006498095633945,0.08820279778168083,1.0341006052913445e-49,1.6120952390091505e-48,TRUE,LOC128966610,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,0.5380942253925217,1.7127396541505713,0.38215427707213234,0.6940341737129111,1.4654381512014643,2.0017747732954527,0.07956266010519777,6.763150260198105,1.3502307043107541e-11,517,170,ok,NA,4.346662683317179e-8,TRUE
